subjects,Network,Model,perf
1,language,GPT2-XL,0.1481743910243402
1,language,GPT2-XL-mp,0.15300277423821876
1,language,GPT2-XL-sp,0.15407258243034513
1,language,OASM,0.0
2,language,GPT2-XL,0.05246473110146282
2,language,GPT2-XL-mp,0.0549454223943673
2,language,GPT2-XL-sp,0.05212582811061904
2,language,OASM,0.0
3,language,GPT2-XL,0.25048974725869716
3,language,GPT2-XL-mp,0.2688311183476791
3,language,GPT2-XL-sp,0.2571602209153943
3,language,OASM,0.0
4,language,GPT2-XL,0.10826678111927136
4,language,GPT2-XL-mp,0.08636061237363493
4,language,GPT2-XL-sp,0.10167577214041593
4,language,OASM,0.0
5,language,GPT2-XL,0.0792170239202877
5,language,GPT2-XL-mp,0.06209990071975849
5,language,GPT2-XL-sp,0.08236993327144523
5,language,OASM,0.0
